id,text,domain,annotator_notes
cardinal_001,Số hồ sơ bị lỗi là 0.,,
cardinal_002,Tôi mua 1 quyển sách.,,
cardinal_003,Bàn này có 4 chân.,,
cardinal_004,Nhóm có 5 thành viên.,,
cardinal_005,Tôi cần 10 chiếc hộp.,,
cardinal_006,Lớp có 15 sinh viên.,,
cardinal_007,Cửa hàng còn 21 sản phẩm.,,
cardinal_008,Tôi đã đọc 24 trang.,,
cardinal_009,Đội có 25 người.,,
cardinal_010,Thư viện nhận 101 cuốn sách.,,
cardinal_011,Kho hiện có 105 hộp.,,
cardinal_012,Trường tuyển 115 học sinh.,,
cardinal_013,Cuộc khảo sát có 1.001 người tham gia.,,
cardinal_014,Hệ thống ghi nhận 1.005 yêu cầu.,,
cardinal_015,Nhà máy sản xuất 1.015 linh kiện.,,
cardinal_016,Thành phố trồng thêm 10.001 cây xanh.,,
cardinal_017,Sân vận động có 10.500 chỗ ngồi.,,
cardinal_018,Ứng dụng đạt 1.000.000 lượt tải.,,
cardinal_019,Dân số khu vực là 1.234.567 người.,,
cardinal_020,Tài khoản đang có số dư âm 125 điểm.,,
decimal_math_001,"Xác suất bằng 0,5.",,
decimal_math_002,"Kết quả đo là 1,05.",,
decimal_math_003,"Giá trị trung bình là 12,04.",,
decimal_math_004,"Nghiệm của phương trình là -3,5.",,
decimal_math_005,"Sai số hiệu chỉnh là +2,5.",,
decimal_math_006,"Tổng doanh thu là 1.234,56 triệu đồng.",,
decimal_math_007,"Hằng số pi xấp xỉ 3,14159.",,
decimal_math_008,Một triệu có thể viết là 10^6.,,
decimal_math_009,Diện tích hình vuông được tính bằng 2².,,
decimal_math_010,Căn bậc hai của 2 là một số vô tỉ.,,
decimal_math_011,"Giá trị bằng 1,2×10^-3.",,
decimal_math_012,Ta có 2 + 3 = 5.,,
decimal_math_013,"Phép tính 7 ÷ 2 = 3,5.",,
decimal_math_014,Biểu thức 4 : 2 = 2 rất đơn giản.,,
decimal_math_015,Độ chính xác đạt 10⁻⁶.,,
year_date_001,Tôi sinh năm 1995.,,
year_date_002,Công ty được thành lập năm 2000.,,
year_date_003,Tôi sinh năm 2005.,,
year_date_004,Dự án bắt đầu từ năm 2010.,,
year_date_005,Báo cáo được công bố năm 2024.,,
year_date_006,Sự kiện diễn ra vào năm 45 TCN.,,
year_date_007,Khóa học thuộc niên khóa 2025-2026.,,
year_date_008,Tài liệu này có từ năm 1873.,,
year_date_009,Cuộc hẹn là ngày 03/09/2026.,,
year_date_010,Hóa đơn được lập ngày 9-1-2021.,,
year_date_011,Ngày 29/02/2024 là ngày nhuận.,,
year_date_012,Chúng tôi nghỉ vào ngày 1/5.,,
year_date_013,Ngày 30-4 là ngày lễ.,,
year_date_014,Hợp đồng hết hạn vào 12/2026.,,
year_date_015,Kế hoạch áp dụng từ quý 2/2026.,,
year_date_016,Hội nghị diễn ra ngày 25-26/12/2023.,,
year_date_017,Tệp được tạo ngày 01.02.2026.,,
year_date_018,Tôi sẽ quay lại vào ngày 7.,,
year_date_019,Lịch khám ghi ngày 02/03.,,
year_date_020,Hạn nộp là 31/12/2026.,,
year_date_021,Hệ thống lưu ngày theo định dạng 2026-07-21.,,
year_date_022,Kỳ thi được tổ chức vào tháng 8/2025.,,
year_date_023,Tết năm 2027 đến khá sớm.,,
year_date_024,Bản thảo mang ngày 05/06/1999.,,
year_date_025,Lịch học kéo dài từ 02-06/09/2026.,,
time_duration_001,Hệ thống sao lưu lúc 00:00.,,
time_duration_002,Xe khởi hành lúc 06:05.,,
time_duration_003,Tôi ăn sáng lúc 07:30.,,
time_duration_004,Cuộc họp bắt đầu lúc 9h.,,
time_duration_005,Chuông reo lúc 12:00.,,
time_duration_006,Chúng ta nghỉ trưa lúc 12:30.,,
time_duration_007,Chuyến bay cất cánh lúc 13:45.,,
time_duration_008,Bản tin phát lúc 18h05.,,
time_duration_009,Cửa hàng đóng cửa lúc 23:59.,,
time_duration_010,Buổi phỏng vấn kéo dài 2:30:00.,,
time_duration_011,Hãy tua video đến 02:30.,,
time_duration_012,Bài chạy hoàn thành trong 01:02:03.,,
time_duration_013,Dịch vụ hỗ trợ hoạt động 24/7.,,
time_duration_014,Văn phòng mở cửa từ 9-11h.,,
time_duration_015,Đồng hồ đếm ngược còn 00:05.,,
phone_001,Số điện thoại của tôi là 0903120508.,,
phone_002,Hãy gọi 0987 654 321.,,
phone_003,Số liên hệ là 0912-345-678.,,
phone_004,"Từ nước ngoài, hãy gọi +84 903 120 508.",,
phone_005,Tổng đài miễn phí là 1800 1090.,,
phone_006,Gọi 1900 5454 49 để được tư vấn.,,
phone_007,"Khi có cháy, hãy gọi 114.",,
phone_008,"Khi cần cấp cứu, hãy gọi 115.",,
phone_009,"Khi cần báo công an, hãy gọi 113.",,
phone_010,Số điện thoại bàn là 024 3825 1234.,,
phone_011,Số máy lẻ của tôi là 203.,,
phone_012,Hãy gọi đường dây 1080.,,
phone_013,Số mới của cô ấy là 0326123456.,,
phone_014,Liên hệ qua số 0888.123.456.,,
phone_015,Số fax là (028) 3910 1234.,,
identifier_001,Mã xác nhận là 105.,,
identifier_002,Mã điệp viên là 007.,,
identifier_003,Mã dùng một lần của bạn là 038204.,,
identifier_004,Mã khóa hiện tại là 0000.,,
identifier_005,Mã sinh viên của tôi là 20251234.,,
identifier_006,Số tài khoản là 0011002345678.,,
identifier_007,Thẻ của bạn có bốn số cuối là 4821.,,
identifier_008,Đơn hàng mang mã 105.,,
identifier_009,Mã vận đơn là 0123456789.,,
identifier_010,Mã số thuế của công ty là 0101234567.,,
identifier_011,Số căn cước là 001205012345.,,
identifier_012,Số hộ chiếu là B1234567.,,
identifier_013,Hóa đơn số 000123 đã được thanh toán.,,
identifier_014,Chuyến bay VN218 đã hạ cánh.,,
identifier_015,Tàu SE3 sắp vào ga.,,
identifier_016,Tôi học lớp 12A1.,,
identifier_017,Biểu mẫu ghi mã bưu chính 100000.,,
identifier_018,Số thứ tự của bạn là A05.,,
identifier_019,Hồ sơ bệnh án có mã 00045.,,
identifier_020,Lô sản xuất mang số 240701.,,
location_route_001,Tôi đang ở phòng 105.,,
location_route_002,Phòng 007 nằm cuối hành lang.,,
location_route_003,Cuộc họp được chuyển sang phòng 12.,,
location_route_004,Văn phòng ở phòng B203.,,
location_route_005,Tôi sống ở căn hộ 1205.,,
location_route_006,Căn P2-1508 đang được sửa chữa.,,
location_route_007,Gia đình tôi ở số nhà 27.,,
location_route_008,Địa chỉ là 27/5 phố Huế.,,
location_route_009,Cửa hàng ở số 12A đường Láng.,,
location_route_010,Rẽ vào ngõ 8 ở bên phải.,,
location_route_011,Tôi đi xe buýt số 32.,,
location_route_012,Xe buýt số 105 sắp tới.,,
location_route_013,Tai nạn xảy ra trên quốc lộ 1A.,,
location_route_014,Công trường nằm tại Km 15+200.,,
location_route_015,Biển số xe là 30A-123.45.,,
location_route_016,Chiếc xe mang biển 51K-888.88.,,
location_route_017,Ghế 12A nằm cạnh cửa sổ.,,
location_route_018,Hành khách ra cửa 03.,,
location_route_019,Nhân viên mời khách ở bàn 08.,,
location_route_020,Tủ đồ 021 đang khóa.,,
money_001,Cuốn sách có giá 12.000đ.,,
money_002,Chiếc máy có giá 1.250.000₫.,,
money_003,Vé gửi xe là 5k.,,
money_004,Cốc cà phê này giá 50k.,,
money_005,"Phí dịch vụ là 1,5 triệu đồng.",,
money_006,Doanh nghiệp huy động 2 tỷ đồng.,,
money_007,Đơn hàng này có phí vận chuyển 0đ.,,
money_008,Sản phẩm được bán với giá 99.900 đồng.,,
money_009,"Phí đăng ký là 12,5 USD.",,
money_010,Chiếc áo có giá $25.,,
money_011,Tôi đổi 100 USD sang tiền Việt.,,
money_012,Tiền đặt cọc là 2.000 HKD.,,
money_013,Món đồ này có giá HK$500.,,
money_014,"Giá niêm yết là €19,99.",,
money_015,Bữa trưa ở Nhật hết 1.000¥.,,
money_016,Tôi còn đúng 500 đồng.,,
money_017,Mức giá dao động từ 10.000-15.000đ.,,
money_018,Mức lương đề xuất là 25tr/tháng.,,
money_019,"Căn hộ được rao giá 1,2 tỉ đồng.",,
money_020,Mỗi người được hoàn lại 35.500₫.,,
percent_ratio_001,"Doanh thu tăng 6,5%.",,
percent_ratio_002,"Lãi suất chỉ là 0,05%.",,
percent_ratio_003,Pin đã sạc đến 100%.,,
percent_ratio_004,"Cổ phiếu giảm -2,3%.",,
percent_ratio_005,Chỉ số thay đổi +4%.,,
percent_ratio_006,Tỷ lệ lỗi nằm trong khoảng 3-5%.,,
percent_ratio_007,Màn hình có tỷ lệ 16:9.,,
percent_ratio_008,Hai đội đang hòa với tỷ số 1:1.,,
percent_ratio_009,Bản đồ dùng tỷ lệ 1:100.,,
percent_ratio_010,Huyết áp của bệnh nhân là 120/80.,,
percent_ratio_011,Thị lực của cô ấy đạt 10/10.,,
percent_ratio_012,"Tỷ lệ P/E hiện là 15,2.",,
percent_ratio_013,"Xác suất thành công được ước tính là 0,95.",,
percent_ratio_014,"Điểm trung bình của bạn ấy là 3,8/4,0.",,
percent_ratio_015,Tỷ lệ pha là 1:3.,,
measure_001,Chiếc vali nặng 12kg.,,
measure_002,"Em bé nặng 1,5 kg.",,
measure_003,Gói bột có khối lượng 250g.,,
measure_004,"Bình chứa 1,25 lít nước.",,
measure_005,Chai này có dung tích 500ml.,,
measure_006,Quãng đường dài 12km.,,
measure_007,Xe chạy với tốc độ 120km/h.,,
measure_008,"Chiều cao của cô ấy là 1,63m.",,
measure_009,Chiếc hộp rộng 15cm.,,
measure_010,Căn phòng rộng 32m².,,
measure_011,Bể có thể tích 45m³.,,
measure_012,Nhiệt độ cơ thể là 37°C.,,
measure_013,Ngoài trời đang là -5°C.,,
measure_014,Lò được đặt ở 90°F.,,
measure_015,Điện áp dân dụng là 220V.,,
measure_016,Dòng điện có cường độ 2A.,,
measure_017,Nguồn điện hoạt động ở 50Hz.,,
measure_018,Máy có 8GB bộ nhớ.,,
measure_019,Tệp có dung lượng 256MB.,,
measure_020,Ổ cứng có dung lượng 2TB.,,
fraction_range_001,Tôi đã ăn 1/2 chiếc bánh.,,
fraction_range_002,Bể đang đầy 3/4.,,
fraction_range_003,Có 2/3 số người đồng ý.,,
fraction_range_004,Bài toán yêu cầu tính 5/8.,,
fraction_range_005,Tôi đợi khoảng 3/4 giờ.,,
fraction_range_006,Mỗi ngày dùng từ 2-3 lần.,,
fraction_range_007,Vui lòng đọc các trang 12–15.,,
fraction_range_008,Dữ liệu được thu thập trong giai đoạn 2020–2025.,,
fraction_range_009,Nhiệt độ dao động từ -5–3°C.,,
fraction_range_010,"Khoảng tin cậy nằm trong đoạn [0,1].",,
version_ordinal_sport_001,Ứng dụng đang chạy phiên bản 3.12.1.,,
version_ordinal_sport_002,Dự án sử dụng Python 3.12.,,
version_ordinal_sport_003,Trang web trả về lỗi 404.,,
version_ordinal_sport_004,Đội chủ nhà thắng 3-1.,,
version_ordinal_sport_005,Sự kiện này xảy ra vào thế kỷ XXI.,,
