blind_sample_id,source_case_id,role,audio_path
S001,version_ordinal_sport_001,VERSION,audio/S001.wav
S002,location_route_008,ADDRESS,audio/S002.wav
S003,time_duration_004,TIME,audio/S003.wav
S004,phone_012,SERVICE_PHONE,audio/S004.wav
S005,version_ordinal_sport_001,VERSION,audio/S005.wav
S006,identifier_001,IDENTIFIER,audio/S006.wav
S007,measure_011,MEASURE,audio/S007.wav
S008,year_date_012,DATE,audio/S008.wav
S009,decimal_math_007,DECIMAL,audio/S009.wav
S010,money_015,MONEY,audio/S010.wav
S011,version_ordinal_sport_001,VERSION,audio/S011.wav
S012,location_route_009,ADDRESS,audio/S012.wav
S013,location_route_001,ROOM,audio/S013.wav
S014,decimal_math_007,DECIMAL,audio/S014.wav
S015,decimal_math_007,DECIMAL,audio/S015.wav
S016,identifier_008,ORDER_ID,audio/S016.wav
S017,location_route_001,ROOM,audio/S017.wav
S018,cardinal_004,QUANTITY,audio/S018.wav
S019,measure_011,MEASURE,audio/S019.wav
S020,percent_ratio_010,MEDICAL_RATIO,audio/S020.wav
S021,location_route_016,LICENSE_PLATE,audio/S021.wav
S022,location_route_009,ADDRESS,audio/S022.wav
S023,year_date_012,DATE,audio/S023.wav
S024,location_route_008,ADDRESS,audio/S024.wav
S025,percent_ratio_008,SCORE,audio/S025.wav
S026,location_route_016,LICENSE_PLATE,audio/S026.wav
S027,percent_ratio_015,RATIO,audio/S027.wav
S028,fraction_range_010,INTERVAL,audio/S028.wav
S029,phone_003,PHONE,audio/S029.wav
S030,money_015,MONEY,audio/S030.wav
S031,time_duration_004,TIME,audio/S031.wav
S032,percent_ratio_015,RATIO,audio/S032.wav
S033,cardinal_004,QUANTITY,audio/S033.wav
S034,percent_ratio_010,MEDICAL_RATIO,audio/S034.wav
S035,location_route_008,ADDRESS,audio/S035.wav
S036,phone_009,EMERGENCY_PHONE,audio/S036.wav
S037,identifier_001,IDENTIFIER,audio/S037.wav
S038,money_015,MONEY,audio/S038.wav
S039,cardinal_004,QUANTITY,audio/S039.wav
S040,identifier_008,ORDER_ID,audio/S040.wav
S041,percent_ratio_015,RATIO,audio/S041.wav
S042,identifier_011,NATIONAL_ID,audio/S042.wav
S043,phone_012,SERVICE_PHONE,audio/S043.wav
S044,identifier_008,ORDER_ID,audio/S044.wav
S045,identifier_011,NATIONAL_ID,audio/S045.wav
S046,time_duration_004,TIME,audio/S046.wav
S047,fraction_range_002,FRACTION,audio/S047.wav
S048,measure_011,MEASURE,audio/S048.wav
S049,location_route_009,ADDRESS,audio/S049.wav
S050,fraction_range_002,FRACTION,audio/S050.wav
S051,percent_ratio_008,SCORE,audio/S051.wav
S052,decimal_math_006,DECIMAL,audio/S052.wav
S053,percent_ratio_010,MEDICAL_RATIO,audio/S053.wav
S054,percent_ratio_008,SCORE,audio/S054.wav
S055,phone_003,PHONE,audio/S055.wav
S056,location_route_016,LICENSE_PLATE,audio/S056.wav
S057,year_date_008,YEAR,audio/S057.wav
S058,fraction_range_010,INTERVAL,audio/S058.wav
S059,year_date_012,DATE,audio/S059.wav
S060,phone_012,SERVICE_PHONE,audio/S060.wav
S061,identifier_011,NATIONAL_ID,audio/S061.wav
S062,fraction_range_010,INTERVAL,audio/S062.wav
S063,location_route_001,ROOM,audio/S063.wav
S064,decimal_math_006,DECIMAL,audio/S064.wav
S065,fraction_range_002,FRACTION,audio/S065.wav
S066,identifier_001,IDENTIFIER,audio/S066.wav
S067,phone_003,PHONE,audio/S067.wav
S068,phone_009,EMERGENCY_PHONE,audio/S068.wav
S069,year_date_008,YEAR,audio/S069.wav
S070,phone_009,EMERGENCY_PHONE,audio/S070.wav
S071,decimal_math_006,DECIMAL,audio/S071.wav
S072,year_date_008,YEAR,audio/S072.wav
