id,role,category,original_text,current_rule,best_existing,preferred_gold
phone_008,EMERGENCY_PHONE,current correct; best existing wrong,"Khi cần cấp cứu, hãy gọi 115.","Khi cần cấp cứu, hãy gọi một một năm.","Khi cần cấp cứu , hãy gọi một trăm mười lăm .","Khi cần cấp cứu, hãy gọi một một năm."
phone_009,EMERGENCY_PHONE,current correct; best existing wrong,"Khi cần báo công an, hãy gọi 113.","Khi cần báo công an, hãy gọi một một ba.","Khi cần báo công an , hãy gọi một trăm mười ba .","Khi cần báo công an, hãy gọi một một ba."
version_ordinal_sport_003,ERROR_CODE,current correct; best existing wrong,Trang web trả về lỗi 404.,Trang web trả về lỗi bốn trăm linh bốn.,Trang web trả về lỗi bốn trăm linh tư .,Trang web trả về lỗi bốn không bốn.
fraction_range_001,FRACTION,current correct; best existing wrong,Tôi đã ăn 1/2 chiếc bánh.,Tôi đã ăn một phần hai chiếc bánh.,Tôi đã ăn một trên hai chiếc bánh .,Tôi đã ăn một nửa chiếc bánh.
fraction_range_003,FRACTION,current correct; best existing wrong,Có 2/3 số người đồng ý.,Có hai phần ba số người đồng ý.,Có hai trên ba số người đồng ý .,Có hai phần ba số người đồng ý.
fraction_range_004,FRACTION,current correct; best existing wrong,Bài toán yêu cầu tính 5/8.,Bài toán yêu cầu tính năm phần tám.,Bài toán yêu cầu tính năm tháng tám .,Bài toán yêu cầu tính năm phần tám.
identifier_001,IDENTIFIER,current correct; best existing wrong,Mã xác nhận là 105.,Mã xác nhận là một không năm.,Mã xác nhận là một trăm linh năm .,Mã xác nhận là một không năm.
location_route_008,ADDRESS,best existing correct; current wrong,Địa chỉ là 27/5 phố Huế.,Địa chỉ là hai mươi bảy phần năm phố Huế.,Địa chỉ là hai mươi bảy trên năm phố Huế .,Địa chỉ là hai mươi bảy trên năm phố Huế.
time_duration_013,AVAILABILITY,best existing correct; current wrong,Dịch vụ hỗ trợ hoạt động 24/7.,Dịch vụ hỗ trợ hoạt động hai mươi tư phần bảy.,Dịch vụ hỗ trợ hoạt động hai mươi tư trên bảy .,Dịch vụ hỗ trợ hoạt động hai mươi tư trên bảy.
year_date_012,DATE,best existing correct; current wrong,Chúng tôi nghỉ vào ngày 1/5.,Chúng tôi nghỉ vào ngày một phần năm.,Chúng tôi nghỉ vào ngày một tháng năm .,Chúng tôi nghỉ vào ngày mùng một tháng năm.
decimal_math_001,DECIMAL,best existing correct; current wrong,"Xác suất bằng 0,5.","Xác suất bằng 0,5.",Xác suất bằng không phẩy năm .,Xác suất bằng không phẩy năm.
decimal_math_002,DECIMAL,best existing correct; current wrong,"Kết quả đo là 1,05.","Kết quả đo là 1,05.",Kết quả đo là một phẩy không năm .,Kết quả đo là một phẩy không năm.
decimal_math_003,DECIMAL,best existing correct; current wrong,"Giá trị trung bình là 12,04.","Giá trị trung bình là 12,04.",Giá trị trung bình là mười hai phẩy không bốn .,Giá trị trung bình là mười hai phẩy không bốn.
decimal_math_006,DECIMAL,best existing correct; current wrong,"Tổng doanh thu là 1.234,56 triệu đồng.","Tổng doanh thu là 1.234,năm mươi sáu triệu đồng.",Tổng doanh thu là một nghìn hai trăm ba mươi tư phẩy năm sáu triệu đồng .,Tổng doanh thu là một nghìn hai trăm ba mươi tư phẩy năm sáu triệu đồng.
