id,original_text,gold,system,output,semantic_group,reading_style,ambiguity_cluster,automatic_mismatch_type,manual_review_needed,note
cardinal_001,Số hồ sơ bị lỗi là 0.,Số hồ sơ bị lỗi là không.,current_rule,Số hồ sơ bị lỗi là không.,,,cluster_unknown,exact,False,
cardinal_001,Số hồ sơ bị lỗi là 0.,Số hồ sơ bị lỗi là không.,num2words_vi,Số hồ sơ bị lỗi là không.,,,cluster_unknown,exact,False,
cardinal_001,Số hồ sơ bị lỗi là 0.,Số hồ sơ bị lỗi là không.,vietnormalizer,số hồ sơ bị lỗi là không.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_001,Số hồ sơ bị lỗi là 0.,Số hồ sơ bị lỗi là không.,soe_vinorm,Số hồ sơ bị lỗi là không .,,,cluster_unknown,formatting_only,False,
cardinal_002,Tôi mua 1 quyển sách.,Tôi mua một quyển sách.,current_rule,Tôi mua một quyển sách.,,,cluster_unknown,exact,False,
cardinal_002,Tôi mua 1 quyển sách.,Tôi mua một quyển sách.,num2words_vi,Tôi mua một quyển sách.,,,cluster_unknown,exact,False,
cardinal_002,Tôi mua 1 quyển sách.,Tôi mua một quyển sách.,vietnormalizer,tôi mua một quyển sách.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_002,Tôi mua 1 quyển sách.,Tôi mua một quyển sách.,soe_vinorm,Tôi mua một quyển sách .,,,cluster_unknown,formatting_only,False,
cardinal_003,Bàn này có 4 chân.,Bàn này có bốn chân.,current_rule,Bàn này có bốn chân.,,,cluster_unknown,exact,False,
cardinal_003,Bàn này có 4 chân.,Bàn này có bốn chân.,num2words_vi,Bàn này có bốn chân.,,,cluster_unknown,exact,False,
cardinal_003,Bàn này có 4 chân.,Bàn này có bốn chân.,vietnormalizer,bàn này có bốn chân.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_003,Bàn này có 4 chân.,Bàn này có bốn chân.,soe_vinorm,Bàn này có bốn chân .,,,cluster_unknown,formatting_only,False,
cardinal_004,Nhóm có 5 thành viên.,Nhóm có năm thành viên.,current_rule,Nhóm có năm thành viên.,,,cluster_unknown,exact,False,
cardinal_004,Nhóm có 5 thành viên.,Nhóm có năm thành viên.,num2words_vi,Nhóm có năm thành viên.,,,cluster_unknown,exact,False,
cardinal_004,Nhóm có 5 thành viên.,Nhóm có năm thành viên.,vietnormalizer,nhóm có năm thành viên.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_004,Nhóm có 5 thành viên.,Nhóm có năm thành viên.,soe_vinorm,Nhóm có năm thành viên .,,,cluster_unknown,formatting_only,False,
cardinal_005,Tôi cần 10 chiếc hộp.,Tôi cần mười chiếc hộp.,current_rule,Tôi cần mười chiếc hộp.,,,cluster_unknown,exact,False,
cardinal_005,Tôi cần 10 chiếc hộp.,Tôi cần mười chiếc hộp.,num2words_vi,Tôi cần mười chiếc hộp.,,,cluster_unknown,exact,False,
cardinal_005,Tôi cần 10 chiếc hộp.,Tôi cần mười chiếc hộp.,vietnormalizer,tôi cần mười chiếc hộp.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_005,Tôi cần 10 chiếc hộp.,Tôi cần mười chiếc hộp.,soe_vinorm,Tôi cần mười chiếc hộp .,,,cluster_unknown,formatting_only,False,
cardinal_006,Lớp có 15 sinh viên.,Lớp có mười lăm sinh viên.,current_rule,Lớp có mười lăm sinh viên.,,,cluster_unknown,exact,False,
cardinal_006,Lớp có 15 sinh viên.,Lớp có mười lăm sinh viên.,num2words_vi,Lớp có mười lăm sinh viên.,,,cluster_unknown,exact,False,
cardinal_006,Lớp có 15 sinh viên.,Lớp có mười lăm sinh viên.,vietnormalizer,lớp có mười lăm sinh viên.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_006,Lớp có 15 sinh viên.,Lớp có mười lăm sinh viên.,soe_vinorm,Lớp có mười lăm sinh viên .,,,cluster_unknown,formatting_only,False,
cardinal_007,Cửa hàng còn 21 sản phẩm.,Cửa hàng còn hai mốt sản phẩm,current_rule,Cửa hàng còn hai mươi mốt sản phẩm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_007,Cửa hàng còn 21 sản phẩm.,Cửa hàng còn hai mốt sản phẩm,num2words_vi,Cửa hàng còn hai mươi mốt sản phẩm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_007,Cửa hàng còn 21 sản phẩm.,Cửa hàng còn hai mốt sản phẩm,vietnormalizer,cửa hàng còn hai mươi mốt sản phẩm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_007,Cửa hàng còn 21 sản phẩm.,Cửa hàng còn hai mốt sản phẩm,soe_vinorm,Cửa hàng còn hai mươi mốt sản phẩm .,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_008,Tôi đã đọc 24 trang.,Tôi đã đọc hai mươi tư trang.,current_rule,Tôi đã đọc hai mươi tư trang.,,,cluster_unknown,exact,False,
cardinal_008,Tôi đã đọc 24 trang.,Tôi đã đọc hai mươi tư trang.,num2words_vi,Tôi đã đọc hai mươi bốn trang.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_008,Tôi đã đọc 24 trang.,Tôi đã đọc hai mươi tư trang.,vietnormalizer,tôi đã đọc hai mươi tư trang.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_008,Tôi đã đọc 24 trang.,Tôi đã đọc hai mươi tư trang.,soe_vinorm,Tôi đã đọc hai mươi tư trang .,,,cluster_unknown,formatting_only,False,
cardinal_009,Đội có 25 người.,Đội có hai mươi lăm người.,current_rule,Đội có hai mươi lăm người.,,,cluster_unknown,exact,False,
cardinal_009,Đội có 25 người.,Đội có hai mươi lăm người.,num2words_vi,Đội có hai mươi lăm người.,,,cluster_unknown,exact,False,
cardinal_009,Đội có 25 người.,Đội có hai mươi lăm người.,vietnormalizer,đội có hai mươi lăm người.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_009,Đội có 25 người.,Đội có hai mươi lăm người.,soe_vinorm,Đội có hai mươi lăm người .,,,cluster_unknown,formatting_only,False,
cardinal_010,Thư viện nhận 101 cuốn sách.,Thư viện nhận một trăm linh mốt cuốn sách.,current_rule,Thư viện nhận một trăm linh một cuốn sách.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_010,Thư viện nhận 101 cuốn sách.,Thư viện nhận một trăm linh mốt cuốn sách.,num2words_vi,Thư viện nhận một trăm lẻ một cuốn sách.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_010,Thư viện nhận 101 cuốn sách.,Thư viện nhận một trăm linh mốt cuốn sách.,vietnormalizer,thư viện nhận một trăm lẻ một cuốn sách.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_010,Thư viện nhận 101 cuốn sách.,Thư viện nhận một trăm linh mốt cuốn sách.,soe_vinorm,Thư viện nhận một trăm linh một cuốn sách .,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_011,Kho hiện có 105 hộp.,Kho hiện có một trăm linh năm hộp.,current_rule,Kho hiện có một trăm linh năm hộp.,,,cluster_unknown,exact,False,
cardinal_011,Kho hiện có 105 hộp.,Kho hiện có một trăm linh năm hộp.,num2words_vi,Kho hiện có một trăm lẻ năm hộp.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_011,Kho hiện có 105 hộp.,Kho hiện có một trăm linh năm hộp.,vietnormalizer,kho hiện có một trăm lẻ năm hộp.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_011,Kho hiện có 105 hộp.,Kho hiện có một trăm linh năm hộp.,soe_vinorm,Kho hiện có một trăm linh năm hộp .,,,cluster_unknown,formatting_only,False,
cardinal_012,Trường tuyển 115 học sinh.,Trường tuyển một trăm mười lăm học sinh.,current_rule,Trường tuyển một trăm mười lăm học sinh.,,,cluster_unknown,exact,False,
cardinal_012,Trường tuyển 115 học sinh.,Trường tuyển một trăm mười lăm học sinh.,num2words_vi,Trường tuyển một trăm mười lăm học sinh.,,,cluster_unknown,exact,False,
cardinal_012,Trường tuyển 115 học sinh.,Trường tuyển một trăm mười lăm học sinh.,vietnormalizer,trường tuyển một trăm mười lăm học sinh.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_012,Trường tuyển 115 học sinh.,Trường tuyển một trăm mười lăm học sinh.,soe_vinorm,Trường tuyển một trăm mười lăm học sinh .,,,cluster_unknown,formatting_only,False,
cardinal_013,Cuộc khảo sát có 1.001 người tham gia.,Cuộc khảo sát có một nghìn không trăm linh một người tham gia.,current_rule,Cuộc khảo sát có 1.001 người tham gia.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_013,Cuộc khảo sát có 1.001 người tham gia.,Cuộc khảo sát có một nghìn không trăm linh một người tham gia.,num2words_vi,Cuộc khảo sát có một.một người tham gia.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_013,Cuộc khảo sát có 1.001 người tham gia.,Cuộc khảo sát có một nghìn không trăm linh một người tham gia.,vietnormalizer,cuộc khảo sát có một nghìn không trăm lẻ một người tham gia.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_013,Cuộc khảo sát có 1.001 người tham gia.,Cuộc khảo sát có một nghìn không trăm linh một người tham gia.,soe_vinorm,Cuộc khảo sát có một nghìn không trăm linh một người tham gia .,,,cluster_unknown,formatting_only,False,
cardinal_014,Hệ thống ghi nhận 1.005 yêu cầu.,Hệ thống ghi nhận một nghìn không trăm linh năm yêu cầu.,current_rule,Hệ thống ghi nhận 1.005 yêu cầu.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
