blind_sample_id,source_case_id,number_reading_correctness,naturalness_1_to_5,intelligibility_1_to_5,perceived_spoken_form,comment
S001,version_ordinal_sport_001,,,,,
S002,location_route_008,,,,,
S003,time_duration_004,,,,,
S004,phone_012,,,,,
S005,version_ordinal_sport_001,,,,,
S006,identifier_001,,,,,
S007,measure_011,,,,,
S008,year_date_012,,,,,
S009,decimal_math_007,,,,,
S010,money_015,,,,,
S011,version_ordinal_sport_001,,,,,
S012,location_route_009,,,,,
S013,location_route_001,,,,,
S014,decimal_math_007,,,,,
S015,decimal_math_007,,,,,
S016,identifier_008,,,,,
S017,location_route_001,,,,,
S018,cardinal_004,,,,,
S019,measure_011,,,,,
S020,percent_ratio_010,,,,,
S021,location_route_016,,,,,
S022,location_route_009,,,,,
S023,year_date_012,,,,,
S024,location_route_008,,,,,
S025,percent_ratio_008,,,,,
S026,location_route_016,,,,,
S027,percent_ratio_015,,,,,
S028,fraction_range_010,,,,,
S029,phone_003,,,,,
S030,money_015,,,,,
S031,time_duration_004,,,,,
S032,percent_ratio_015,,,,,
S033,cardinal_004,,,,,
S034,percent_ratio_010,,,,,
S035,location_route_008,,,,,
S036,phone_009,,,,,
S037,identifier_001,,,,,
S038,money_015,,,,,
S039,cardinal_004,,,,,
S040,identifier_008,,,,,
S041,percent_ratio_015,,,,,
S042,identifier_011,,,,,
S043,phone_012,,,,,
S044,identifier_008,,,,,
S045,identifier_011,,,,,
S046,time_duration_004,,,,,
S047,fraction_range_002,,,,,
S048,measure_011,,,,,
S049,location_route_009,,,,,
S050,fraction_range_002,,,,,
S051,percent_ratio_008,,,,,
S052,decimal_math_006,,,,,
S053,percent_ratio_010,,,,,
S054,percent_ratio_008,,,,,
S055,phone_003,,,,,
S056,location_route_016,,,,,
S057,year_date_008,,,,,
S058,fraction_range_010,,,,,
S059,year_date_012,,,,,
S060,phone_012,,,,,
S061,identifier_011,,,,,
S062,fraction_range_010,,,,,
S063,location_route_001,,,,,
S064,decimal_math_006,,,,,
S065,fraction_range_002,,,,,
S066,identifier_001,,,,,
S067,phone_003,,,,,
S068,phone_009,,,,,
S069,year_date_008,,,,,
S070,phone_009,,,,,
S071,decimal_math_006,,,,,
S072,year_date_008,,,,,
