selection_order,id,original_text,preferred_gold,role,cluster,best_existing_system,best_existing_text,current_rule_text,systems_disagree,selection_rationale
1,location_route_009,Cửa hàng ở số 12A đường Láng.,Cửa hàng ở số mười hai a đường Láng.,ADDRESS,cluster_unknown,soe_vinorm,Cửa hàng ở số mười hai A đường Láng .,Cửa hàng ở số 12A đường Láng.,True,contextual/high-risk disagreement
2,decimal_math_007,"Hằng số pi xấp xỉ 3,14159.",Hằng số pi xấp xỉ ba phẩy một bốn một năm chín.,DECIMAL,cluster_unknown,soe_vinorm,Hằng số pi xấp xỉ ba phẩy một bốn một năm chín .,"Hằng số pi xấp xỉ 3,14159.",True,contextual/high-risk disagreement
3,phone_009,"Khi cần báo công an, hãy gọi 113.","Khi cần báo công an, hãy gọi một một ba.",EMERGENCY_PHONE,cluster_unknown,soe_vinorm,"Khi cần báo công an , hãy gọi một trăm mười ba .","Khi cần báo công an, hãy gọi một một ba.",True,contextual/high-risk disagreement
4,fraction_range_002,Bể đang đầy 3/4.,Bể đang đầy ba phần tư.,FRACTION,cluster_unknown,soe_vinorm,Bể đang đầy ba trên bốn .,Bể đang đầy ba phần bốn.,True,contextual/high-risk disagreement
5,identifier_001,Mã xác nhận là 105.,Mã xác nhận là một không năm.,IDENTIFIER,cluster_unknown,soe_vinorm,Mã xác nhận là một trăm linh năm .,Mã xác nhận là một không năm.,True,contextual/high-risk disagreement
6,fraction_range_010,"Khoảng tin cậy nằm trong đoạn [0,1].",Khoảng tin cậy nằm trong đoạn từ không đến một.,INTERVAL,cluster_unknown,soe_vinorm,Khoảng tin cậy nằm trong đoạn [ không phẩy một ] .,"Khoảng tin cậy nằm trong đoạn [0,1].",True,contextual/high-risk disagreement
7,location_route_016,Chiếc xe mang biển 51K-888.88.,"Chiếc xe mang biển năm mươi mốt ca, tám tám tám, tám tám.",LICENSE_PLATE,cluster_unknown,soe_vinorm,Chiếc xe mang biển năm mươi mốt Ca - tám trăm tám mươi tám . tám mươi tám .,Chiếc xe mang biển 51K-888.88.,True,contextual/high-risk disagreement
8,percent_ratio_010,Huyết áp của bệnh nhân là 120/80.,Huyết áp của bệnh nhân là một trăm hai mươi trên tám mươi.,MEDICAL_RATIO,cluster_unknown,soe_vinorm,Huyết áp của bệnh nhân là một trăm hai mươi trên tám mươi .,Huyết áp của bệnh nhân là 120/80.,True,contextual/high-risk disagreement
9,identifier_011,Số căn cước là 001205012345.,Số căn cước là không không một hai không năm không một hai ba bốn năm.,NATIONAL_ID,cluster_unknown,soe_vinorm,Số căn cước là không không một hai không năm không một hai ba bốn năm .,Số căn cước là không không một hai không năm không một hai ba bốn năm.,True,contextual/high-risk disagreement
10,identifier_008,Đơn hàng mang mã 105.,Đơn hàng mang mã một không năm.,ORDER_ID,cluster_unknown,soe_vinorm,Đơn hàng mang mã một trăm linh năm .,Đơn hàng mang mã một không năm.,True,contextual/high-risk disagreement
11,phone_003,Số liên hệ là 0912-345-678.,"Số liên hệ là không chín một hai, ba bốn năm, sáu bảy tám.",PHONE,cluster_unknown,soe_vinorm,Số liên hệ là chín trăm mười hai ba trăm bốn mươi lăm sáu trăm bảy mươi tám .,Số liên hệ là không chín một hai ba bốn năm sáu bảy tám.,True,contextual/high-risk disagreement
12,percent_ratio_015,Tỷ lệ pha là 1:3.,Tỷ lệ pha là một trên ba.,RATIO,cluster_unknown,soe_vinorm,Tỷ lệ pha là một ba .,Tỷ lệ pha là 1:3.,True,contextual/high-risk disagreement
13,location_route_001,Tôi đang ở phòng 105.,Tôi đang ở phòng một không năm.,ROOM,cluster_unknown,soe_vinorm,Tôi đang ở phòng một trăm linh năm .,Tôi đang ở phòng một không năm.,True,contextual/high-risk disagreement
14,percent_ratio_008,Hai đội đang hòa với tỷ số 1:1.,Hai đội đang hòa với tỷ số một đều.,SCORE,cluster_unknown,soe_vinorm,Hai đội đang hòa với tỷ số một một .,Hai đội đang hòa với tỷ số 1:1.,True,contextual/high-risk disagreement
15,phone_012,Hãy gọi đường dây 1080.,Hãy gọi đường dây một không tám không.,SERVICE_PHONE,cluster_unknown,soe_vinorm,Hãy gọi đường dây một nghìn không trăm tám mươi .,Hãy gọi đường dây một không tám không.,True,contextual/high-risk disagreement
16,version_ordinal_sport_001,Ứng dụng đang chạy phiên bản 3.12.1.,Ứng dụng đang chạy phiên bản ba chấm mười hai chấm một.,VERSION,cluster_unknown,soe_vinorm,Ứng dụng đang chạy phiên bản ba . mười hai . một .,Ứng dụng đang chạy phiên bản 3.12.một.,True,contextual/high-risk disagreement
17,location_route_008,Địa chỉ là 27/5 phố Huế.,Địa chỉ là hai mươi bảy trên năm phố Huế.,ADDRESS,cluster_unknown,soe_vinorm,Địa chỉ là hai mươi bảy trên năm phố Huế .,Địa chỉ là hai mươi bảy phần năm phố Huế.,True,contextual/high-risk disagreement
18,decimal_math_006,"Tổng doanh thu là 1.234,56 triệu đồng.",Tổng doanh thu là một nghìn hai trăm ba mươi tư phẩy năm sáu triệu đồng.,DECIMAL,cluster_unknown,soe_vinorm,Tổng doanh thu là một nghìn hai trăm ba mươi tư phẩy năm sáu triệu đồng .,"Tổng doanh thu là 1.234,năm mươi sáu triệu đồng.",True,contextual/high-risk disagreement
19,year_date_012,Chúng tôi nghỉ vào ngày 1/5.,Chúng tôi nghỉ vào ngày mùng một tháng năm.,DATE,cluster_unknown,soe_vinorm,Chúng tôi nghỉ vào ngày một tháng năm .,Chúng tôi nghỉ vào ngày một phần năm.,True,deterministic control
20,measure_011,Bể có thể tích 45m³.,Bể có thể tích bốn mươi lăm mét khối.,MEASURE,cluster_unknown,soe_vinorm,Bể có thể tích bốn mươi lăm mét .,Bể có thể tích 45m³.,True,deterministic control
21,money_015,Bữa trưa ở Nhật hết 1.000¥.,Bữa trưa ở Nhật hết một nghìn yên.,MONEY,cluster_unknown,soe_vinorm,Bữa trưa ở Nhật hết một nghìn yên .,Bữa trưa ở Nhật hết một nghìn yên.,True,deterministic control
22,cardinal_004,Nhóm có 5 thành viên.,Nhóm có năm thành viên.,QUANTITY,cluster_unknown,soe_vinorm,Nhóm có năm thành viên .,Nhóm có năm thành viên.,True,deterministic control
23,time_duration_004,Cuộc họp bắt đầu lúc 9h.,Cuộc họp bắt đầu lúc chín giờ.,TIME,cluster_unknown,soe_vinorm,Cuộc họp bắt đầu lúc chín giờ .,Cuộc họp bắt đầu lúc 9h.,True,deterministic control
24,year_date_008,Tài liệu này có từ năm 1873.,Tài liệu này có từ năm một nghìn tám trăm bảy mươi ba.,YEAR,cluster_unknown,soe_vinorm,Tài liệu này có từ năm một nghìn tám trăm bảy mươi ba .,Tài liệu này có từ năm một nghìn tám trăm bảy mươi ba.,True,deterministic control
